date,year,month,temperature,rainfall,humidity,wind_speed,anomaly,city,season
1994-06-20,1994,6,33.67,6.47,85.6,14.6,Normal,Mumbai,Monsoon
1994-06-21,1994,6,33.78,5.24,93.8,23.6,Normal,Mumbai,Monsoon
1994-06-22,1994,6,34.88,8.93,87.3,6.5,Normal,Mumbai,Monsoon
1994-06-23,1994,6,35.5,10.98,,12.9,Normal,Mumbai,Monsoon
1994-06-24,1994,6,,10.03,79.4,21.4,Normal,Mumbai,Monsoon
1994-06-25,1994,6,36.21,12.74,77.4,6.1,Normal,Mumbai,Monsoon
1994-06-26,1994,6,,4.41,59.7,7.7,Normal,Mumbai,Monsoon
1994-06-27,1994,6,37.13,1.62,94.9,16.6,Normal,Mumbai,Monsoon
1994-06-28,1994,6,34.53,17.17,83.8,16.6,Normal,Mumbai,Monsoon
1994-06-29,1994,6,38.99,22.83,81.8,36.0,Normal,Mumbai,Monsoon
1994-06-30,1994,6,35.83,3.56,69.4,11.0,Normal,Mumbai,Monsoon
1994-07-01,1994,7,33.58,6.27,79.9,10.3,Normal,Mumbai,Monsoon
1994-07-02,1994,7,33.23,8.28,78.8,24.3,Normal,Mumbai,Monsoon
1994-07-03,1994,7,35.53,9.15,78.6,9.5,Normal,Mumbai,Monsoon
1994-07-04,1994,7,34.44,12.93,87.7,18.1,Normal,Mumbai,Monsoon
1994-07-05,1994,7,35.81,0.51,86.0,17.1,Normal,Mumbai,Monsoon
1994-07-06,1994,7,35.42,15.34,74.1,21.5,Normal,Mumbai,Monsoon
1994-07-07,1994,7,34.56,0.77,74.6,20.5,Normal,Mumbai,Monsoon
1994-07-08,1994,7,33.36,7.58,74.6,20.7,Normal,Mumbai,Monsoon
1994-07-09,1994,7,32.31,21.1,99.5,16.2,Normal,Mumbai,Monsoon
1994-07-10,1994,7,33.87,7.2,96.9,20.7,Normal,Mumbai,Monsoon
1994-07-11,1994,7,35.78,1.94,78.2,10.5,Normal,Mumbai,Monsoon
1994-07-12,1994,7,34.77,50.42,69.2,10.0,Normal,Mumbai,Monsoon
1994-07-13,1994,7,32.53,26.41,86.0,26.4,Normal,Mumbai,Monsoon
1994-07-14,1994,7,39.02,17.7,85.4,25.3,Heatwa,Mumbai,Monsoon
1994-07-15,1994,7,39.29,6.36,87.5,15.0,Heatwa,Mumbai,Monsoon
1994-07-16,1994,7,37.32,2.44,90.9,14.3,Heatwa,Mumbai,Monsoon
1994-07-17,1994,7,38.82,34.05,88.6,9.9,Heatwa,Mumbai,Monsoon
1994-07-18,1994,7,34.19,9.12,76.1,32.1,Normal,Mumbai,Monsoon
1994-07-19,1994,7,32.33,22.96,87.4,2.2,Normal,Mumbai,Monsoon
1994-07-20,1994,7,34.51,5.02,91.8,32.5,Normal,Mumbai,Monsoon
1994-07-21,1994,7,34.75,4.9,79.2,8.4,Normal,Mumbai,Monsoon
1994-07-22,1994,7,35.46,50.84,87.4,17.9,Normal,Mumbai,Monsoon
1994-07-23,1994,7,35.34,8.85,80.6,14.2,Normal,Mumbai,Monsoon
1994-07-24,1994,7,31.62,1.82,100.0,16.0,Normal,Mumbai,Monsoon
1994-07-25,1994,7,32.2,2.98,74.4,32.4,Normal,Mumbai,Monsoon
1994-07-26,1994,7,34.3,7.89,94.2,10.5,Normal,Mumbai,Monsoon
1994-07-27,1994,7,34.22,0.52,71.6,8.5,Normal,Mumbai,Monsoon
1994-07-28,1994,7,34.14,7.45,99.3,12.0,Normal,Mumbai,Monsoon
1994-07-29,1994,7,39.06,6.51,75.9,8.3,Normal,Mumbai,Monsoon
1994-07-30,1994,7,34.06,18.13,86.5,15.3,Normal,Mumbai,Monsoon
1994-07-31,1994,7,34.81,5.26,72.0,16.8,Normal,Mumbai,Monsoon
1994-08-01,1994,8,34.45,134.24,74.2,15.6,Extrem,Mumbai,Monsoon
1994-08-02,1994,8,33.91,2.39,92.2,33.0,Normal,Mumbai,Monsoon
1994-08-03,1994,8,32.36,10.73,93.2,8.8,Normal,Mumbai,Monsoon
1994-08-04,1994,8,33.88,1.13,86.9,50.1,Normal,Mumbai,Monsoon
1994-08-05,1994,8,31.49,15.88,90.9,15.8,Normal,Mumbai,Monsoon
1994-08-06,1994,8,32.19,63.0,93.4,4.0,Normal,Mumbai,Monsoon
1994-08-07,1994,8,31.72,20.52,79.5,7.1,Normal,Mumbai,Monsoon
1994-08-08,1994,8,32.47,9.74,73.8,19.7,Normal,Mumbai,Monsoon
1994-08-09,1994,8,35.71,7.96,84.9,27.0,Normal,Mumbai,Monsoon
1994-08-10,1994,8,29.34,21.62,80.4,15.9,Normal,Mumbai,Monsoon
1994-08-11,1994,8,33.06,32.98,88.1,6.0,Normal,Mumbai,Monsoon
1994-08-12,1994,8,29.5,54.35,89.4,5.8,Normal,Mumbai,Monsoon
1994-08-13,1994,8,31.11,6.06,79.5,17.4,Normal,Mumbai,Monsoon
1994-08-14,1994,8,33.34,56.42,90.6,7.6,Normal,Mumbai,Monsoon
1994-08-15,1994,8,31.69,2.03,90.2,4.2,Normal,Mumbai,Monsoon
1994-08-16,1994,8,29.86,3.51,90.8,18.9,Normal,Mumbai,Monsoon
1994-08-17,1994,8,30.29,1.12,81.7,9.5,Normal,Mumbai,Monsoon
1994-08-18,1994,8,32.27,3.81,91.2,13.1,Normal,Mumbai,Monsoon
1994-08-19,1994,8,30.03,17.53,89.2,9.0,Normal,Mumbai,Monsoon
1994-08-20,1994,8,31.33,23.0,90.1,32.7,Normal,Mumbai,Monsoon
1994-08-21,1994,8,30.96,18.11,98.4,6.0,Normal,Mumbai,Monsoon
1994-08-22,1994,8,29.79,11.97,87.6,5.7,Normal,Mumbai,Monsoon
1994-08-23,1994,8,33.86,8.66,80.1,24.1,Normal,Mumbai,Monsoon
1994-08-24,1994,8,31.48,14.8,76.1,1.6,Normal,Mumbai,Monsoon
1994-08-25,1994,8,27.36,5.95,94.0,40.8,Normal,Mumbai,Monsoon
1994-08-26,1994,8,30.55,22.09,87.9,17.1,Normal,Mumbai,Monsoon
1994-08-27,1994,8,29.16,13.57,98.4,22.6,Normal,Mumbai,Monsoon
1994-08-28,1994,8,31.3,14.36,68.8,13.8,Normal,Mumbai,Monsoon
1994-08-29,1994,8,28.7,9.21,92.3,5.6,Normal,Mumbai,Monsoon
1994-08-30,1994,8,29.59,25.98,82.9,18.2,Normal,Mumbai,Monsoon
1994-08-31,1994,8,30.39,3.48,82.2,28.5,Normal,Mumbai,Monsoon
1994-09-01,1994,9,30.8,5.76,78.9,6.7,Normal,Mumbai,Monsoon
1994-09-02,1994,9,27.57,18.04,92.2,11.9,Normal,Mumbai,Monsoon
1994-09-03,1994,9,28.74,8.14,89.9,7.5,Normal,Mumbai,Monsoon
1994-09-04,1994,9,,26.4,75.9,19.6,Normal,Mumbai,Monsoon
1994-09-05,1994,9,28.0,5.1,86.3,17.7,Normal,Mumbai,Monsoon
1994-09-06,1994,9,31.49,5.53,,37.5,Normal,Mumbai,Monsoon
1994-09-07,1994,9,29.32,26.35,86.4,,Normal,Mumbai,Monsoon
1994-09-08,1994,9,26.68,7.49,93.9,21.4,Normal,Mumbai,Monsoon
1994-09-09,1994,9,29.81,8.71,82.7,16.9,Normal,Mumbai,Monsoon
1994-09-10,1994,9,31.49,4.86,67.0,22.1,Normal,Mumbai,Monsoon
1994-09-11,1994,9,29.72,3.89,86.5,8.1,Normal,Mumbai,Monsoon
1994-09-12,1994,9,25.75,12.8,86.4,3.1,Normal,Mumbai,Monsoon
1994-09-13,1994,9,27.17,1.53,87.5,12.1,Normal,Mumbai,Monsoon
1994-09-14,1994,9,29.66,25.37,93.9,13.1,Normal,Mumbai,Monsoon
1994-09-15,1994,9,26.56,18.13,69.4,35.9,Normal,Mumbai,Monsoon
1994-09-16,1994,9,28.15,2.54,83.1,7.5,Normal,Mumbai,Monsoon
1994-09-17,1994,9,28.51,14.21,77.6,19.0,Normal,Mumbai,Monsoon
1994-09-18,1994,9,25.82,11.07,75.3,4.3,Normal,Mumbai,Monsoon
1994-09-19,1994,9,26.98,2.45,,9.5,Normal,Mumbai,Monsoon
1994-09-20,1994,9,22.07,,90.6,6.9,Normal,Mumbai,Monsoon
1994-09-21,1994,9,25.26,6.31,87.4,17.2,Normal,Mumbai,Monsoon
1994-09-22,1994,9,26.28,14.42,79.5,12.8,Normal,Mumbai,Monsoon
1994-09-23,1994,9,24.65,12.22,83.8,14.6,Normal,Mumbai,Monsoon
1994-09-24,1994,9,28.83,9.12,92.4,7.5,Normal,Mumbai,Monsoon
1994-09-25,1994,9,24.1,17.55,90.5,2.8,Normal,Mumbai,Monsoon
1994-09-26,1994,9,25.45,17.02,80.6,8.5,Normal,Mumbai,Monsoon
1994-09-27,1994,9,26.17,11.54,80.1,18.8,Normal,Mumbai,Monsoon
1994-09-28,1994,9,28.0,18.56,71.3,20.6,Normal,Mumbai,Monsoon
1994-09-29,1994,9,23.54,4.88,81.6,15.1,Normal,Mumbai,Monsoon
1994-09-30,1994,9,27.31,25.57,71.1,20.2,Normal,Mumbai,Monsoon
1994-10-01,1994,10,25.44,0.65,55.6,6.5,Normal,Mumbai,Autumn
1994-10-02,1994,10,23.82,2.04,70.1,16.1,Normal,Mumbai,Autumn
1994-10-03,1994,10,25.85,0.4,69.9,23.5,Normal,Mumbai,Autumn
1994-10-04,1994,10,25.32,0.43,72.1,4.8,Normal,Mumbai,Autumn
1994-10-05,1994,10,23.99,1.09,52.4,8.9,Normal,Mumbai,Autumn
1994-10-06,1994,10,24.86,7.45,63.5,9.9,Normal,Mumbai,Autumn
1994-10-07,1994,10,24.05,0.87,70.9,6.6,Normal,Mumbai,Autumn
1994-10-08,1994,10,24.67,3.3,75.0,4.3,Normal,Mumbai,Autumn
1994-10-09,1994,10,25.36,1.85,44.9,27.3,Normal,Mumbai,Autumn
1994-10-10,1994,10,26.61,1.91,60.0,18.5,Normal,Mumbai,Autumn
1994-10-11,1994,10,22.25,0.69,58.1,12.0,Normal,Mumbai,Autumn
1994-10-12,1994,10,27.18,0.59,75.9,7.8,Normal,Mumbai,Autumn
1994-10-13,1994,10,20.92,0.26,37.9,4.4,Normal,Mumbai,Autumn
1994-10-14,1994,10,23.5,3.99,49.5,8.2,Normal,Mumbai,Autumn
1994-10-15,1994,10,24.48,3.84,74.3,22.7,Normal,Mumbai,Autumn
1994-10-16,1994,10,23.9,1.65,55.3,31.0,Normal,Mumbai,Autumn
1994-10-17,1994,10,22.42,0.42,47.0,28.0,Normal,Mumbai,Autumn
1994-10-18,1994,10,22.92,0.34,75.1,8.2,Normal,Mumbai,Autumn
1994-10-19,1994,10,22.37,5.37,45.7,5.2,Normal,Mumbai,Autumn
1994-10-20,1994,10,22.11,0.08,70.2,10.4,Normal,Mumbai,Autumn
1994-10-21,1994,10,24.15,2.23,44.4,13.3,Normal,Mumbai,Autumn
1994-10-22,1994,10,23.29,0.53,45.6,14.8,Normal,Mumbai,Autumn
1994-10-23,1994,10,21.6,0.65,62.0,,Normal,Mumbai,Autumn
1994-10-24,1994,10,23.87,2.14,51.5,6.8,Normal,Mumbai,Autumn
1994-10-25,1994,10,22.87,0.11,62.7,27.0,Normal,Mumbai,Autumn
1994-10-26,1994,10,23.52,0.52,78.0,17.2,Normal,Mumbai,Autumn
1994-10-27,1994,10,23.13,3.64,58.4,11.6,Normal,Mumbai,Autumn
1994-10-28,1994,10,20.83,1.44,76.3,8.6,Normal,Mumbai,Autumn
1994-10-29,1994,10,21.13,1.69,63.2,7.7,Normal,Mumbai,Autumn
1994-10-30,1994,10,22.98,1.7,69.6,33.1,Normal,Mumbai,Autumn
1994-10-31,1994,10,22.67,0.07,,2.0,Normal,Mumbai,Autumn
1994-11-01,1994,11,21.62,0.27,66.4,12.3,Normal,Mumbai,Autumn
1994-11-02,1994,11,21.73,0.81,64.8,28.3,Normal,Mumbai,Autumn
1994-11-03,1994,11,23.37,0.55,56.4,15.0,Normal,Mumbai,Autumn
1994-11-04,1994,11,20.47,0.64,79.0,22.8,Normal,Mumbai,Autumn
1994-11-05,1994,11,22.08,1.82,55.1,21.5,Normal,Mumbai,Autumn
1994-11-06,1994,11,20.86,0.02,43.9,23.8,Normal,Mumbai,Autumn
1994-11-07,1994,11,20.74,1.3,67.8,55.0,Normal,Mumbai,Autumn
1994-11-08,1994,11,22.63,0.0,45.8,21.9,Normal,Mumbai,Autumn
1994-11-09,1994,11,22.13,0.08,60.8,3.6,Normal,Mumbai,Autumn
1994-11-10,1994,11,22.02,0.63,73.4,37.9,Normal,Mumbai,Autumn
1994-11-11,1994,11,22.67,2.21,65.0,19.6,Normal,Mumbai,Autumn
1994-11-12,1994,11,20.66,0.19,57.5,22.0,Normal,Mumbai,Autumn
1994-11-13,1994,11,21.57,0.97,56.5,5.4,Normal,Mumbai,Autumn
1994-11-14,1994,11,20.0,1.36,72.7,11.9,Normal,Mumbai,Autumn
1994-11-15,1994,11,20.88,0.31,47.8,30.3,Normal,Mumbai,Autumn
1994-11-16,1994,11,20.12,0.86,67.8,13.6,Normal,Mumbai,Autumn
1994-11-17,1994,11,20.38,2.91,81.9,13.9,Normal,Mumbai,Autumn
1994-11-18,1994,11,21.06,0.86,65.4,27.5,Normal,Mumbai,Autumn
1994-11-19,1994,11,18.87,0.21,57.6,2.4,Normal,Mumbai,Autumn
1994-11-20,1994,11,23.16,1.19,58.4,4.2,Normal,Mumbai,Autumn
1994-11-21,1994,11,18.45,1.08,55.2,4.6,Normal,Mumbai,Autumn
